gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Depends,5,18,500,No,2,5,3,4,9,8,3.9,3.9,3,0,No,60,55,4,55
Male,Winter,Right,Sophomore,Other,U.S.,Yes,No,No,Morning,0,45,0,No,4,5,4,8,6,8,3.5,NA,0,0,No,10,3,5,62
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Yes,Depends,3,55,0,Yes,1,2,2,2,7,8,3.95,NA,0,0,Yes,116,101,3,70
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Depends,6,130,30,No,2,4,2,2,8,9,4,3.6,0,0,Yes,53,48,6,73
Female,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Yes,Morning,2,260,100,Yes,1,5,3,2,6,8,3.5,NA,0,0,Yes,300,240,3,48
Female,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,8,20,75,No,0.5,4,0,1,8,9,4,NA,0,0,No,127,135,3,84
Male,Summer,Right,Others (PSEO or Post graduate),Other,U.S.,Yes,Yes,No,Evening,5,20,0,No,1.5,3,0,1,8,10,3.8,NA,0,-1,No,75,60,4,72
Female,Spring,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Depends,4,0,10,No,0,4,1.5,1,7,8,3.9,3.2,0,0,No,24.77,49.45,5,35
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,No,Evening,3,0,0,No,1.5,4.5,0,3,7,9,3.93,3.67,0,0,No,90,83,5,67
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,No,Evening,1,40,0,No,2,3,1,8,7,9,3.7,3.5,0,1,Yes,90,85,5,75
